"id","class_id","instructor","section_id","section_type","meeting_time","start_time","end_time","location","course_id","day"
4900,85935,"Miranda George","006                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",157,"TBA"
4901,86677,"Donald Bruce","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",157,"TBA"
4902,82574,"Rickey G Bogard","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",158,"TBA"
4903,82575,"Gerald E Wood","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",158,"TBA"
4904,82576,"Dennis L Bubert","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",158,"TBA"
4905,82577,"Edward W Jones","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",158,"TBA"
4906,82578,"Kenneth M Edwards","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",158,"TBA"
4907,86678,"Donald Bruce","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",158,"TBA"
4908,82579,"Michael L Varner","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",159,"TBA"
4909,82580,"Andrew Eldridge","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",159,"TBA"
4910,86098,"Michael J Drake","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",159,"TBA"
4911,82581,"Michael L Varner","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",160,"TBA"
4912,82582,"Andrew Eldridge","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",160,"TBA"
4913,82583,"Brian T Mulholland","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",161,"TBA"
4914,82584,"Brian T Mulholland","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",162,"TBA"
6258,82820,"Staff","006                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",50,"TBA"
4915,83768,"Daniel M Cavanagh","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",163,"TBA"
4916,82585,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",164,"TBA"
4917,82586,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",165,"TBA"
4918,82587,"Linton E Powell","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",166,"TBA"
4919,87027,"Jordan Moore","001                 ","LEC                 ","08/27/2015 - 12/09/2015","12:30:00","13:50:00","FA  310",167,"TuTh"
4920,83666,"Micah Hayes","001                 ","LEC                 ","08/27/2015 - 12/09/2015","11:00:00","12:20:00","FA  301",168,"TuTh"
4921,89710,"Graham G Hunt","001                 ","IND                 ","08/27/2015 - 12/09/2015","15:00:00","17:50:00","FA  309",169,"Mo"
4922,89659,"Graham G Hunt","001                 ","SEM                 ","08/27/2015 - 12/09/2015",,,"TBA",170,"TBA"
4923,90659,"Dennis L Bubert","023                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",171,"TBA"
4924,87028,"Timothy J Ishii","017                 ","IND                 ","08/27/2015 - 12/09/2015",,,"TBA",172,"TBA"
